Year,GEO_ID,UrbanCode,UrbanName,UrbanTypeDescription,UrbanTypeCode,TotalPopulationEstimate
2017,400C100US10405,10405,Broadway,VA Urban Cluster (2010),C,6437
2017,400C100US11269,11269,Buena Vista,VA Urban Cluster (2010),C,6528
2017,400C100US97453,97453,Wytheville,VA Urban Cluster (2010),C,7105
2017,400C100US97156,97156,Woodstock,VA Urban Cluster (2010),C,7699
2017,400C100US96103,96103,Winchester,VA Urbanized Area (2010),U,72741
2018,400C100US82549,82549,Smithfield,VA Urban Cluster (2010),C,10192
2018,400C100US10351,10351,Bristol--Bristol,TN--VA Urbanized Area (2010),U,67680
2018,400C100US10405,10405,Broadway,VA Urban Cluster (2010),C,6395
2018,400C100US92242,92242,Washington,DC--VA--MD Urbanized Area (2010),U,4983397
2018,400C100US83143,83143,South Boston,VA Urban Cluster (2010),C,7690
2018,400C100US83278,83278,South Hill,VA Urban Cluster (2010),C,4728
2018,400C100US26956,26956,Elkton,VA Urban Cluster (2010),C,3725
2018,400C100US54712,54712,Marion,VA Urban Cluster (2010),C,7372
2018,400C100US01738,1738,Altavista,VA Urban Cluster (2010),C,4913
2018,400C100US97156,97156,Woodstock,VA Urban Cluster (2010),C,7670
2018,400C100US96103,96103,Winchester,VA Urbanized Area (2010),U,73710
2018,400C100US11269,11269,Buena Vista,VA Urban Cluster (2010),C,6468
2018,400C100US49555,49555,Lexington,VA Urban Cluster (2010),C,8196
2018,400C100US36190,36190,Hagerstown,MD--WV--PA Urbanized Area (2010),U,193316
2018,400C100US65674,65674,Orange,VA Urban Cluster (2010),C,4930
2018,400C100US45235,45235,Kingsport,TN--VA Urbanized Area (2010),U,105711
2018,400C100US72694,72694,Pulaski,VA Urban Cluster (2010),C,15607
2018,400C100US72856,72856,Purcellville,VA Urban Cluster (2010),C,13946
2018,400C100US15724,15724,Charlottesville,VA Urbanized Area (2010),U,101564
2018,400C100US20746,20746,Covington,VA Urban Cluster (2010),C,7742
2018,400C100US31438,31438,Franklin,VA Urban Cluster (2010),C,8636
2018,400C100US31600,31600,Fredericksburg,VA Urbanized Area (2010),U,155072
2018,400C100US31924,31924,Front Royal,VA Urban Cluster (2010),C,19749
2018,400C100US21448,21448,Crozet,VA Urban Cluster (2010),C,5650
2018,400C100US21691,21691,Culpeper,VA Urban Cluster (2010),C,18699
2018,400C100US95411,95411,Williamsburg,VA Urbanized Area (2010),U,80740
2018,400C100US22253,22253,Danville,VA--NC Urban Cluster (2010),C,47524
2018,400C100US07678,7678,Big Stone Gap,VA Urban Cluster (2010),C,7701
2018,400C100US32248,32248,Galax,VA Urban Cluster (2010),C,6821
2018,400C100US37162,37162,Harrisonburg,VA Urbanized Area (2010),U,72168
2018,400C100US97453,97453,Wytheville,VA Urban Cluster (2010),C,7066
2018,400C100US76015,76015,Rocky Mount,VA Urban Cluster (2010),C,6253
2018,400C100US46909,46909,Lake Monticello,VA Urban Cluster (2010),C,9971
2018,400C100US46972,46972,Lake of the Woods,VA Urban Cluster (2010),C,10144
2018,400C100US17857,17857,Clifton Forge,VA Urban Cluster (2010),C,4790
2018,400C100US84630,84630,Staunton--Waynesboro,VA Urbanized Area (2010),U,57294
2018,400C100US86815,86815,Tazewell,VA Urban Cluster (2010),C,4241
2018,400C100US55252,55252,Martinsville,VA Urban Cluster (2010),C,33089
2018,400C100US75421,75421,Roanoke,VA Urbanized Area (2010),U,215054
2018,400C100US27550,27550,Emporia,VA Urban Cluster (2010),C,6287
2018,400C100US90892,90892,Virginia Beach,VA Urbanized Area (2010),U,1471105
2018,400C100US52093,52093,Luray,VA Urban Cluster (2010),C,4371
